"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"1","IL6R",1.2473254733846,5.25018738972352,18.9682982294794,4.72598877129658e-05,0.0300482923475682,2.84368422614581,4
"2","CEBPA",1.14996212628987,5.33797877563213,17.9866922624242,5.82707673191367e-05,0.0300482923475682,2.69371963410973,4
"3","CEBPA-DT",1.14996212628987,5.33797877563213,17.9866922624242,5.82707673191367e-05,0.0300482923475682,2.69371963410973,4
"4","MAP3K11",1.04793744372861,5.65050423197261,13.6919984015833,0.000170084608825931,0.0399396957302036,1.8266888850236,4
"5","SCD",0.821347777312258,5.21117997767585,13.4048093079068,0.000184780071076072,0.0399396957302036,1.75311185947755,4
"6","PRDM1",0.74319411576444,5.67814470596758,13.2313360858854,0.0001944269400269,0.0399396957302036,1.70750162603036,4
"7","GATA6",0.807071587327308,5.1319585458115,12.7009574563452,0.000228087525160097,0.0399396957302036,1.56233405551977,4
"8","TANC1",0.862514484371279,5.55309467827663,12.0853406725973,0.000276799141216666,0.0399396957302036,1.38230329675884,4
"9","SAMHD1",0.696956845847202,5.81324498329877,11.0971177914702,0.000385533413757786,0.0399396957302036,1.06444032144231,4
"10","MXI1",0.886726004621489,5.37109348524454,10.9961684979854,0.000399430162458701,0.0399396957302036,1.0297839559869,4
"11","CEBPB",0.718118972411608,5.62098671276572,10.8889665935381,0.000414876952353494,0.0399396957302036,0.992508763146493,4
"12","APOBEC3A",0.827314317165291,5.3197178688705,10.6730466979212,0.000448311854310166,0.0399396957302036,0.915920370369069,4
"13","ISG20",0.878871617337891,5.20300294207865,10.6554251268369,0.000451186051180062,0.0399396957302036,0.909579088182566,4
"14","MBNL1",0.614560988970439,5.44188069976704,10.5905798460827,0.000461962145868437,0.0399396957302036,0.886124032455577,4
"15","NRP2",0.767507308020162,5.72975953998878,10.5195326522409,0.00047413901064927,0.0399396957302036,0.86020740275906,4
"16","TNFRSF10A-DT",0.763849812732075,4.45773410185525,10.472778712276,0.000482370465223329,0.0399396957302036,0.843026693728539,4
"17","CDKN2C",0.619170090809893,5.47492189476285,10.4719991146012,0.000482509220744364,0.0399396957302036,0.842739362468818,4
"18","KRT8",0.884548273039444,5.61318490262003,10.2393591431401,0.000526230679962814,0.0399396957302036,0.755728872866579,4
"19","CCNA2",0.69705060252299,5.32004501784518,10.1546113161716,0.000543374475839747,0.0399396957302036,0.723392769479746,4
"20","MAML2",-0.620640261260162,6.51461493708214,-10.0965487144155,0.000555522074666877,0.0399396957302036,0.701037342306882,4
"21","GPR32",0.571441581920677,6.06729891641027,9.84536197384655,0.000612133819504259,0.0399396957302036,0.60239679845523,4
"22","PTPN14",0.917185546298117,5.11891206005266,9.63622888098914,0.000664828137601851,0.0399396957302036,0.517809465402742,4
"23","NO_SITE_140",-0.711549381675032,6.8633433824813,-9.52519228002564,0.000695098518268921,0.0399396957302036,0.471959635944748,4
"24","ZEB2",0.587846911310987,5.51996998427607,9.49501107954362,0.000703620789785639,0.0399396957302036,0.459382135534931,4
"25","GMNC",0.616715285509095,5.64387664851681,9.43827073113172,0.000719996877304511,0.0399396957302036,0.435602037295966,4
"26","SP100",0.552465365173572,5.67426762718704,9.40965742068209,0.000728434644177245,0.0399396957302036,0.423543019425527,4
"27","TNFRSF10A",0.765764583832664,4.31187732773393,9.40573019627236,0.000729602306304584,0.0399396957302036,0.421884371212657,4
"28","RUNX1",0.612738157486855,5.83378904460328,9.39389434205802,0.000733135490738149,0.0399396957302036,0.416880379386543,4
"29","LOC124904176",0.620882803582613,5.48394916885956,9.29975231220461,0.00076200871551243,0.0399396957302036,0.376800824504508,4
"30","NDRG1",0.698370992709886,5.38355548022682,9.23989319194501,0.000781103615031186,0.0399396957302036,0.351057346648436,4
"31","E2F7",0.502304305216306,5.56032279497479,9.07351239552721,0.000837388919182108,0.0399396957302036,0.278422860088989,4
"32","UBE2D1",0.506602233460275,6.03470482664711,9.03876431119082,0.000849772847279096,0.0399396957302036,0.263049808280253,4
"33","FOXO4",0.73618768347255,5.49242879743884,9.03264280542644,0.000851977995537633,0.0399396957302036,0.260334187414088,4
"34","SEMA6D",-0.593912744738885,6.91874507062412,-8.41097652477088,0.00111828153684333,0.0486321228877183,-0.0274385984231529,4
"35","BMPR2",0.819951459677722,5.02229933815321,8.36097031339427,0.00114392321619281,0.0486321228877183,-0.051662660086901,4
"36","HYMAI",0.511603424349563,5.61489576902035,8.32438271607046,0.00116314708910509,0.0486321228877183,-0.0694924943311381,4
"37","PLAGL1",0.511603424349563,5.61489576902035,8.32438271607046,0.00116314708910509,0.0486321228877183,-0.0694924943311381,4
"38","NO_SITE_235",0.498476339658593,5.80741912117044,7.99831293100294,0.00135345913849124,0.0551000338748932,-0.232455518185839,4
"39","IFNL2",0.614262815996248,5.91992683344042,7.77301756602395,0.00150781421341381,0.0586140960387756,-0.349486123009997,4
"40","CCNE2",0.459317473705962,5.47357503607024,7.73895163551328,0.00153301323582101,0.0586140960387756,-0.367509214808014,4
"41","CDCP1",0.599681364826564,5.77623218885092,7.7118365476574,0.00155344404498371,0.0586140960387756,-0.381917491401242,4
"42","EPHA2",0.897734864426756,5.15856328469493,7.65989578533183,0.00159353030828251,0.0586950330217391,-0.409673695239292,4
"43","AKAP1",0.411167243901144,5.56254627288131,7.32019487456054,0.00188982440955087,0.0669692480581469,-0.596407263662637,4
"44","NO_SITE_130",0.747804473257343,5.3165280662364,7.25063792129633,0.0019586718667679,0.0669692480581469,-0.635790934248742,4
"45","MKI67",0.423881189164861,6.11770282857018,7.21903388378483,0.00199097659658202,0.0669692480581469,-0.653818194518863,4
"46","LATS2",1.1727805615921,4.93334745797284,7.19520655166933,0.00201576835913491,0.0669692480581469,-0.667464878887214,4
"47","KIF2C",0.566063113477743,5.1537405584317,7.17733083559916,0.00203461839607816,0.0669692480581469,-0.67773426777709,4
"48","EPC2",0.420075070677426,5.82692336661001,7.06540124467145,0.00215773281488801,0.0695419305131614,-0.74265467763046,4
