"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"1","CCND1",0.666054588956407,7.13333244811301,7.53281314797361,0.00168024312114855,0.999407662864464,-3.55750715968836,4
"2","PAX8",1.07951238129955,6.81117770957522,7.51332535830549,0.00169673366636535,0.999407662864464,-3.55810604193735,4
"3","CCND3",0.774810912453381,6.81393589112147,6.59394233686224,0.00276479076047968,0.999407662864464,-3.59176613613546,4
"4","PAX2",0.571499368516871,7.01862410953458,6.36391105112816,0.0031529779224957,0.999407662864464,-3.60218287652728,4
"5","SOCS3-DT",0.695373902379203,6.77761262990885,6.19325072010301,0.00348497858478518,0.999407662864464,-3.61054671430337,4
"6","NO_SITE_220",-0.696804438774219,5.15046892248461,-4.93737217550711,0.00788330528503063,0.999407662864464,-3.69453609728261,4
"7","BHLHE40",0.51784665675823,6.53012038767095,4.90500381522522,0.00806777286688154,0.999407662864464,-3.69737623838535,4
"8","ERBB3",0.42417339816107,6.59523595659405,4.78924745940998,0.00877197703035421,0.999407662864464,-3.7078874617408,4
"9","LOC105375284",0.394417515016742,5.51628227023909,4.5239806588791,0.0106891832363961,0.999407662864464,-3.73423221174855,4
"10","NO_SITE_234",-0.483518601430445,6.11904145184491,-4.46200012432249,0.0112082176020082,0.999407662864464,-3.74087975164479,4
"11","TNFSF10",-0.405004054439242,6.82589088691835,-4.43946065557319,0.0114045071005081,0.999407662864464,-3.74334646146649,4
"12","ICAM1",-0.67794891409793,7.16335157694777,-4.39416324494435,0.0118117338281068,0.999407662864464,-3.74838528159204,4
"13","NO_SITE_176",0.456237515882795,5.56132183004664,4.23926695809082,0.0133438815268934,0.999407662864464,-3.76647344028956,4
"14","NO_SITE_114",-0.520814588280905,6.18254571502212,-3.8035918910581,0.0191344777772396,0.999407662864464,-3.82538439273912,4
"15","SOCS3",0.346149648738607,6.76973292501923,3.6744375195107,0.0214033873755658,0.999407662864464,-3.84545165395409,4
"16","TFEC",-0.301005848457965,7.06794505569928,-3.64177672323399,0.022027248347447,0.999407662864464,-3.85073629353491,4
"17","ISG20",0.352539883226847,4.93983707502313,3.57380080155438,0.0233966979198875,0.999407662864464,-3.86201829329443,4
"18","APOBEC3C",0.276987469347559,5.62827058676352,3.40598288301546,0.0272361141347127,0.999407662864464,-3.89158954501593,4
"19","NO_SITE_226",-0.332820182493313,6.32871051151287,-3.39427954380797,0.0275307774615906,0.999407662864464,-3.8937470408379,4
"20","NO_SITE_44",-0.419201264202949,6.19338621654051,-3.37440096134134,0.028039989353118,0.999407662864464,-3.89744107611945,4
"21","NO_SITE_133",-0.470430474139359,6.93706928442025,-3.3731248300306,0.0280730587085268,0.999407662864464,-3.89767949265016,4
"22","NO_SITE_20",-0.307474022675864,5.7734304092006,-3.34217496947011,0.0288894246047636,0.999407662864464,-3.90350923239408,4
"23","NO_SITE_47",-0.385161755344542,6.46434384459391,-3.26038481918804,0.0311858356550551,0.999407662864464,-3.91936242792266,4
"24","HNF1B",0.305226065524655,6.97887851124077,3.24756997624924,0.0315648921573639,0.999407662864464,-3.92190631557741,4
"25","KRT18",-0.266358895571015,6.1388603258103,-3.23595966978197,0.0319130256991048,0.999407662864464,-3.92422537216001,4
"26","NO_SITE_216",-0.263926550869842,5.42397185236626,-3.21281697188991,0.032620573561948,0.999407662864464,-3.92888874115168,4
"27","NO_SITE_166",-0.493970258767386,4.99102560520216,-3.20030058955582,0.0330109479467346,0.999407662864464,-3.93143367809288,4
"28","IL6R",-0.284636136817179,4.48420658462263,-3.18253986803814,0.0335743852106553,0.999407662864464,-3.93507267108796,4
"29","NO_SITE_137",0.388983130099037,6.81603955601022,3.1175142713501,0.03573622400482,0.999407662864464,-3.94867757000107,4
"30","PITX1",-0.273494807556505,4.98155200635462,-3.09283613073881,0.036599264879411,0.999407662864464,-3.95395864979865,4
"31","NO_SITE_25",0.300163118416336,6.44188575133977,3.04134756668797,0.0384800107549748,0.999407662864464,-3.96519035493265,4
"32","CSTP2",-0.653258644350624,5.94910167334513,-3.03512979995278,0.0387147181985113,0.999407662864464,-3.96656644665874,4
"33","NO_SITE_66",0.559087934989526,6.59282408458296,3.02279470788411,0.0391853273286957,0.999407662864464,-3.96930912667526,4
"34","CEBPA",0.296850658370622,4.91142304167251,2.97006828197327,0.0412740021441536,0.999407662864464,-3.98122545054333,4
"35","CEBPA-DT",0.296850658370622,4.91142304167251,2.97006828197327,0.0412740021441536,0.999407662864464,-3.98122545054333,4
"36","NO_SITE_189",-0.27915475336814,6.98796504757674,-2.81973096348499,0.0479823688700099,0.999407662864464,-4.0169690083166,4
"37","LOC124900982",0.325458565326604,5.66970227674523,2.81726646140382,0.0481024813743807,0.999407662864464,-4.01757734969063,4
"38","NO_SITE_28",0.458130698179886,6.79917827200214,2.75937485802593,0.0510269043041832,0.999407662864464,-4.03208062511627,4
"39","NO_SITE_235",0.29337159398201,5.70486674833215,2.75172322181403,0.0514286497367938,0.999407662864464,-4.03402839613796,4
"40","NO_SITE_197",-0.238099245538806,6.7042678212921,-2.74281188226878,0.051901160391639,0.999407662864464,-4.03644703493734,4
"41","NO_SITE_98",-0.235072146657533,8.02741771284081,-2.71609200275685,0.053348342591913,0.999407662864464,-4.04319448566126,4
"42","CCND2",0.315087032924653,6.11619905892603,2.68946878516655,0.0548368801241725,0.999407662864464,-4.05014716523588,4
"43","NO_SITE_54",0.274617731540342,7.03187095567121,2.68911433485415,0.0548570189672083,0.999407662864464,-4.05024033358906,4
"44","NO_SITE_52",0.413497165008068,5.997732474561,2.67463064747778,0.0556872874923605,0.999407662864464,-4.05406103164234,4
"45","HAPSTR1",0.23996280106593,6.28095508042066,2.66590060875105,0.0561947313091361,0.999407662864464,-4.05637682640246,4
"46","NO_SITE_160",0.256968362173806,6.6913565557465,2.65989557811564,0.0565468760546931,0.999407662864464,-4.05797540077397,4
"47","GLIS3",0.265928852753657,6.12769368937901,2.65562661023609,0.0567987622111472,0.999407662864464,-4.05911462352281,4
"48","LOC102724093",0.404248332100154,6.67748828031415,2.64236503798515,0.0575895321721871,0.999407662864464,-4.06266849212696,4
"49","LOC102724117",0.404248332100154,6.67748828031415,2.64236503798515,0.0575895321721871,0.999407662864464,-4.06266849212696,4
"50","ARRDC3",-0.209625051503224,5.70900738981261,-2.63709457613458,0.0579073179433032,0.999407662864464,-4.06408714273795,4
"51","NO_SITE_269",0.362879684164546,6.01869429961565,2.60950907963948,0.0596038831212738,0.999407662864464,-4.07157066153166,4
"52","TANC1",0.275423017049341,5.25954894461566,2.55230417303033,0.0633073692010351,0.999407662864464,-4.08740405964992,4
"53","ELF3",-0.249245856006907,6.27807492459703,-2.53022582871122,0.0648067788991544,0.999407662864464,-4.09362950316426,4
"54","ELF3-AS1",-0.249245856006907,6.27807492459703,-2.53022582871122,0.0648067788991544,0.999407662864464,-4.09362950316426,4
"55","ERCC6L",-0.2032570007479,6.61097518347912,-2.50771186103923,0.066377759212879,0.999407662864464,-4.10004395133691,4
"56","NO_SITE_78",-0.374864465287741,6.85156186984819,-2.50063270812527,0.0668806888714216,0.999407662864464,-4.10207472707151,4
"57","PHKA2",0.202355133209471,6.127333830931,2.45903438733977,0.0699253304883408,0.999407662864464,-4.11414243667782,4
"58","TNFRSF10B",0.311504975949945,4.89756576652008,2.44870818423688,0.0707053930321617,0.999407662864464,-4.11717381765833,4
"59","POTENTIALLY_ACTIVE_10",-0.275972063238206,7.2034441982766,-2.43446449836834,0.0717976945659424,0.999407662864464,-4.12137863093183,4
"60","PHLDA1",-0.296757639810861,5.80238881148452,-2.4243032420148,0.0725886570963288,0.999407662864464,-4.12439490293777,4
"61","TNFRSF10A",0.245289292219731,4.05163968192746,2.39378923815486,0.075024024234233,0.999407662864464,-4.13353604126616,4
"62","MAP3K11",0.251402727812339,5.25223687401448,2.36403850149937,0.077488034640245,0.999407662864464,-4.14256923346466,4
"63","NO_SITE_243",-0.198021817297454,6.99070935464447,-2.35707611658431,0.0780778178695354,0.999407662864464,-4.14470046089822,4
"64","MXI1",0.221306011203512,5.03838348853556,2.35177808876322,0.0785300154345282,0.999407662864464,-4.14632660537977,4
"65","NO_SITE_285",-0.19058322489214,6.34942277806343,-2.34861616570253,0.0788013024274501,0.999407662864464,-4.14729891391004,4
"66","H1-4",0.192295319943322,6.11660208618179,2.33906450093436,0.0796272699867716,0.999407662864464,-4.1502443091514,4
"67","SEMA6D",-0.225437789996765,7.10298254799518,-2.31083743990766,0.0821258505654318,0.999407662864464,-4.15902064437821,4
"68","POTENTIALLY_ACTIVE_11",0.456405693901643,6.55026450592707,2.29418491350601,0.0836412770494395,0.999407662864464,-4.1642487993096,4
"69","CEBPB",0.193374216268152,5.358614334694,2.28687344008592,0.0843165666101185,0.999407662864464,-4.16655613522888,4
"70","NO_SITE_94",-0.438077450106832,5.92357108292172,-2.27175826866769,0.0857321367344738,0.999407662864464,-4.17134908135412,4
"71","DUSP9",0.193950370894882,6.36955682415621,2.26875623733506,0.0860164517297839,0.999407662864464,-4.17230469066652,4
"72","NO_SITE_196",-0.394390820518558,5.63062396259761,-2.25950473024246,0.0868993206731738,0.999407662864464,-4.17525730727976,4
"73","CHMP4C",-0.196849592473784,5.46691063746501,-2.24748647052555,0.0880614450303304,0.999407662864464,-4.17911021908255,4
"74","NO_SITE_51",-0.322219481369002,6.90485305784016,-2.2314278487598,0.0896415483126514,0.999407662864464,-4.18428889453983,4
"75","TNFRSF10A-DT",0.275221334012735,4.21341986249558,2.22617379649511,0.0901654012690652,0.999407662864464,-4.18599081356168,4
"76","NO_SITE_264",0.213847335209502,5.910431273315,2.21429541348217,0.0913624051904469,0.999407662864464,-4.18985225105093,4
"77","IL18BP",0.177202517865888,6.2044035345435,2.21254776880743,0.091540013441061,0.999407662864464,-4.19042198321572,4
"78","NO_SITE_118",0.364672079368214,6.5180156132847,2.20316181710602,0.0925005082721418,0.999407662864464,-4.19348884550468,4
"79","SAMHD1",-0.244935287214758,5.34229891676779,-2.18741385853987,0.0941374394387541,0.999407662864464,-4.19866114140598,4
"80","NO_SITE_224",-0.330102286487468,6.02718483774305,-2.16761023659097,0.0962419841897693,0.999407662864464,-4.20521279535065,4
"81","NOG",0.252656261758817,6.27419794421474,2.15880795194918,0.0971941921904286,0.999407662864464,-4.20814174686275,4
"82","RASSF2",-0.275604119838765,6.83824011118731,-2.15844353900856,0.0972338388448895,0.999407662864464,-4.20826322852034,4
"83","RBCK1",0.201957516597565,5.94392210745582,2.15609355371149,0.0974899403181423,0.999407662864464,-4.20904705251969,4
"84","NO_SITE_132",-0.550868015927407,5.8113210568707,-2.15315153972829,0.0978116194636098,0.999407662864464,-4.21002938541029,4
"85","LOC124904949",-0.173356408268842,6.51944063469735,-2.15222572926043,0.0979130914406742,0.999407662864464,-4.21033875114132,4
"86","LOC100128885",0.312282053767549,7.02005315738097,2.14752727660736,0.0984298655625967,0.999407662864464,-4.21191053588749,4
"87","AFF2",0.202143517734086,6.23068790606626,2.14549463717843,0.0986543708400542,0.999407662864464,-4.21259143333816,4
"88","SQSTM1",-0.202461271948189,5.88920021416072,-2.13753041058272,0.0995395193634338,0.999407662864464,-4.2152646168231,4
"89","NO_SITE_100",-0.386324650207542,6.58223390278522,-2.12776381553037,0.10063704515543,0.999407662864464,-4.21855430030256,4
"90","NO_SITE_140",-0.198039189562841,7.1200984785374,-2.12514229303911,0.100933921565012,0.999407662864464,-4.21943946852127,4
"91","UNG",0.165636924777026,5.89963102622905,2.08009937402924,0.106189414791441,0.999407662864464,-4.23479056380391,4
"92","NO_SITE_101",-0.213909575042581,5.14717807331175,-2.07397186383434,0.106927452091834,0.999407662864464,-4.23689954419588,4
"93","NO_SITE_50",0.382342485088362,6.12578254661049,2.07362482702518,0.106969420598537,0.999407662864464,-4.23701913542416,4
"94","LOC392187",-0.294278093606183,6.83600629398718,-2.07068434142394,0.107325755468147,0.999407662864464,-4.23803307976095,4
"95","LOC392196",-0.294278093606183,6.83600629398718,-2.07068434142394,0.107325755468147,0.999407662864464,-4.23803307976095,4
"96","LOC402329",-0.294278093606183,6.83600629398718,-2.07068434142394,0.107325755468147,0.999407662864464,-4.23803307976095,4
"97","NO_SITE_90",0.194500406590613,5.88636367002124,2.06662635584602,0.107819664460038,0.999407662864464,-4.23943422131899,4
"98","CCNE2",0.193578438544569,5.34070551848955,2.06081274615965,0.108531629546564,0.999407662864464,-4.24144529531463,4
"99","GOLGA6L3P",-0.188409927536815,6.24703306221976,-2.05837915287523,0.108831197782869,0.999407662864464,-4.24228844628614,4
"100","CELA2A",-0.163453704197432,6.49951612466084,-2.05125844788323,0.109712981916765,0.999407662864464,-4.24475994168791,4
"101","NO_SITE_70",-0.531709700512177,6.36439501984891,-2.03396094570402,0.11188793784794,0.999407662864464,-4.25079108295685,4
"102","NO_SITE_81",-0.236886406799173,6.83056652925579,-2.01827791682538,0.113900916271502,0.999407662864464,-4.2562927137545,4
"103","NO_SITE_21",0.211397642696861,6.34277483737641,2.00299600073915,0.115900707369216,0.999407662864464,-4.26168399489976,4
"104","SLC45A4",0.160652972633064,6.17715001970202,1.99715388032705,0.116675349314842,0.999407662864464,-4.26375290138956,4
"105","XPO1",-0.24333704433853,6.55020424599903,-1.99618056074333,0.116804957835165,0.999407662864464,-4.26409801095052,4
"106","AHNAK",0.181567874019977,6.37892335998005,1.97212064612022,0.120059411163762,0.999407662864464,-4.27266703176573,4
"107","SLC26A3",0.195493235322015,6.38873025161166,1.97076006888737,0.120246386904932,0.999407662864464,-4.27315378431842,4
"108","CDK18",0.16315145303177,6.33160893864461,1.95405040440109,0.122568792636418,0.999407662864464,-4.27915061420297,4
"109","NO_SITE_222",-0.304432641689474,5.95733962855642,-1.94964472156967,0.123189235997444,0.999407662864464,-4.28073753276376,4
"110","GMNC",-0.172629128309414,5.24920444160755,-1.94573197630433,0.123743129009438,0.999407662864464,-4.28214891194035,4
"111","MAGEA3",0.337581097605698,7.13886800605062,1.93581770829981,0.125158779852566,0.999407662864464,-4.28573357862783,4
"112","MAGEA6",0.337581097605698,7.13886800605062,1.93581770829981,0.125158779852566,0.999407662864464,-4.28573357862783,4
"113","C6orf132",-0.155712423522643,5.93447497582499,-1.927629236756,0.126341290378698,0.999407662864464,-4.28870335952274,4
"114","EDNRB",0.164466569670168,6.2949478888245,1.91023591594498,0.128893550519301,0.999407662864464,-4.29503865591454,4
"115","DHX9",0.188584627408113,6.04016234877659,1.90769816057499,0.129270588300396,0.999407662864464,-4.29596606382477,4
"116","ARNT",0.162652412155936,6.47693961387984,1.88874618557208,0.132124372482486,0.999407662864464,-4.30291638420571,4
"117","GOLGA8IP",0.154172439233894,6.36004165281586,1.88851214408364,0.132160037784985,0.999407662864464,-4.30300248291689,4
"118","GOLGA8M",0.154172439233894,6.36004165281586,1.88851214408364,0.132160037784985,0.999407662864464,-4.30300248291689,4
"119","NO_SITE_86",0.187352308804212,6.73793154887139,1.88133736925155,0.133258459094221,0.999407662864464,-4.30564507451941,4
"120","NRP2",0.171030122122585,5.43152094703999,1.87455925528441,0.134305218815171,0.999407662864464,-4.30814715212922,4
"121","APOBEC3B",0.289396831330853,5.28661979545051,1.8619770503742,0.136271918910401,0.999407662864464,-4.31280603126953,4
"122","MAML2",-0.168087480612225,6.7408913274061,-1.85367248490817,0.137586983731562,0.999407662864464,-4.31589109147373,4
"123","CCDC83",0.157453431573484,6.65045352751225,1.83665355159436,0.140324881333609,0.999407662864464,-4.3222382251441,4
"124","SMAD9",0.15308084874827,5.75040211383837,1.82131353796693,0.142842877142807,0.999407662864464,-4.32798738563155,4
"125","PPARG",-0.200235793749056,6.42832331465963,-1.81074330873738,0.144606104905162,0.999407662864464,-4.33196424022959,4
