"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"1","ZNF296",-2.4511616759622,2.6000008191177,-40.4159254232089,4.71646812988791e-08,0.000268487888440557,9.06842743467023,4
"2","KIF2C",-2.37341765253405,2.30135742945746,-40.1619551554713,4.88337676124978e-08,0.000268487888440557,9.04616062789066,4
"3","BMPR2",-2.30244157988978,2.93440416070857,-36.5994544950505,8.15081856534917e-08,0.000268487888440557,8.70344749008785,4
"4","PRDM1",-2.28381338263122,2.42979148307285,-36.5578778662035,8.20205766848614e-08,0.000268487888440557,8.69908607122875,4
"5","LRRC15",-2.17145184108756,2.80226605883016,-36.4152764008906,8.38071101156919e-08,0.000268487888440557,8.68405872039498,4
"6","SAMHD1",-2.49357311247066,2.83117519880697,-35.4649824804661,9.6958859336817e-08,0.000268487888440557,8.58114914103703,4
"7","PTMS",-2.55542771969439,3.10314540298551,-35.0005915730322,1.04265174314018e-07,0.000268487888440557,8.52905058781582,4
"8","PKP4",-2.53560282648525,1.69989053073393,-34.227079721135,1.17930782867939e-07,0.000268487888440557,8.43951266075543,4
"9","TOPBP1",-1.96230451067597,3.22068977979324,-33.1677413121364,1.40235659819929e-07,0.000268487888440557,8.31101060422881,4
"10","RNF8",-2.21466177137455,3.23663803056882,-33.0026621228398,1.4414382666427e-07,0.000268487888440557,8.29034710717142,4
"11","PSME2",-1.86105271964099,3.15830077219723,-32.2634755118317,1.63299920583031e-07,0.000268487888440557,8.19561650415526,4
"12","TRPV5",-1.96525196773661,2.75272444358312,-31.7125142191493,1.7954914680064e-07,0.000268487888440557,8.12258755596994,4
"13","ELF3",-1.88514189339577,3.66713461612653,-31.7064438156761,1.79738531836204e-07,0.000268487888440557,8.12177108721768,4
"14","HGF",-1.95909705798905,2.81895246285045,-30.8723869331738,2.08155439861807e-07,0.000269079081980121,8.00705781923174,4
"15","EPHA2",-1.90056867899804,2.27708936064157,-30.6689994907936,2.15869430622847e-07,0.000269079081980121,7.9783038293762,4
"16","ERN2",-1.79203420698399,3.64883948775535,-30.5207845583238,2.21703759806475e-07,0.000269079081980121,7.95715181939958,4
"17","SLC5A1",-2.02775630855459,2.37355438369211,-29.5710726028655,2.63835857201946e-07,0.000289131427574145,7.81753372696171,4
"18","EHD1",-1.72080227693275,3.06937430873732,-29.3251879798133,2.762409997015e-07,0.000289131427574145,7.78019862534777,4
"19","GATA6",-2.11938918947115,2.74252891828446,-28.7367208343421,3.08833215419313e-07,0.000289131427574145,7.68877892305783,4
