"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"1","APOBEC3A",-4.04641302610678,3.62269166169809,-143.915562147224,1.65622750080188e-11,1.72281111086701e-08,17.455941402797,6
"2","SNRNP70",-3.4307406702704,4.09003923839246,-126.876054205201,3.43350048636614e-11,1.72281111086701e-08,16.9075283106174,6
"3","SAMHD1",-4.46541631646575,3.4899007368418,-125.885338238851,3.59279463374274e-11,1.72281111086701e-08,16.8103260641984,6
"4","SOX9",-2.63452237218574,5.20083112942896,-120.151409767982,4.70496155165206e-11,1.72281111086701e-08,16.5765482849813,6
"5","ISG20",-3.10634963309713,4.1929963119411,-116.702915816578,5.56823242038464e-11,1.72281111086701e-08,16.3096570616129,6
"6","HGF",-3.40861033014785,3.50204866965393,-105.494522745905,9.98569403288693e-11,2.0886677748965e-08,15.8472669180831,6
"7","TNFRSF10A",-3.08538738608963,2.9339115855241,-105.062511829893,1.02255469009794e-10,2.0886677748965e-08,15.7930172966629,6
"8","EPHA2",-4.23360242022046,3.46794059797122,-99.1801152519428,1.42699513128396e-10,2.0886677748965e-08,15.5103793652702,6
"9","MXI1",-3.05780333590396,4.78796343136617,-98.6600002337673,1.47105868870823e-10,2.0886677748965e-08,15.4572225791641,6
"10","ERN2",-2.46781799020083,5.04219000628575,-97.7180289909437,1.55499114608303e-10,2.0886677748965e-08,15.422713263044,6
"11","KIF18B",-3.6005150805526,4.02458978451513,-96.6088754731707,1.66112395827629e-10,2.0886677748965e-08,15.3583923518675,6
"12","CKAP2",-2.54716660016522,5.09722003046486,-95.9184098098414,1.73148482606915e-10,2.0886677748965e-08,15.3159409390566,6
"13","MACIR",-2.57221468682314,4.49547343044034,-95.6932312706044,1.7551830041147e-10,2.0886677748965e-08,15.2815842218359,6
"14","EPAS1",-3.04769094998321,3.85621689619079,-90.1170788108078,2.48383005475188e-10,2.39636147271941e-08,14.9351582988691,6
"15","RNF8",-3.76707629792483,4.16749117483711,-89.644125057769,2.56057924406443e-10,2.39636147271941e-08,14.906733016395,6
"16","CDKN2C",-2.80029958388431,4.57800095772455,-89.0998695511878,2.65236624962001e-10,2.39636147271941e-08,14.8843846250388,6
"17","KIF2C",-3.47850386714361,4.16370028163928,-89.263027935755,2.6244509675783e-10,2.39636147271941e-08,14.8767534980885,6
"18","GJA8",-1.93406214382152,5.50568521608256,-88.3333344413228,2.78826803548477e-10,2.39636147271941e-08,14.8406020580229,6
"19","CCNE2",-2.71324400938391,4.43685334755823,-86.7443667068276,3.09688059889334e-10,2.5215127823621e-08,14.7263219975913,6
"20","PAGE4",-2.48508573614936,4.81903226495403,-85.9180358468086,3.2731348771382e-10,2.5317698274664e-08,14.6675882420656,6
"21","OVOL2",-2.44245091699237,4.75634127800604,-85.0137869457345,3.47965455072303e-10,2.56334551903263e-08,14.6188002753132,6
"22","NANOS2",-2.0796909550503,5.26720225745085,-83.5081931645328,3.85844234777028e-10,2.71318650545483e-08,14.5099234214356,6
"23","RFX4",-2.96884091337115,4.86512313009825,-81.254303645073,4.51985764600519e-10,2.80314162763325e-08,14.3307721016549,6
"24","LOC124904176",-2.87855204675184,4.54598583790858,-80.7503421797939,4.68542402315834e-10,2.80314162763325e-08,14.3063103189284,6
"25","TTC6",-2.02312538783922,4.61673175383874,-80.6597889813014,4.71592190962913e-10,2.80314162763325e-08,14.2910817814993,6
"26","SP100",-3.39997057131528,4.1952695378753,-80.446988541258,4.78851307001055e-10,2.80314162763325e-08,14.2861914927159,6
"27","PTMS",-2.79721870630865,3.97646867297281,-80.149048209366,4.89236095320606e-10,2.80314162763325e-08,14.2428592615499,6
"28","TRPV5",-3.79457693298702,4.39764451282318,-79.5304788454662,5.11651937711738e-10,2.82687695585735e-08,14.1801618033383,6
