"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"1","EPAS1",1.50437110771084,2.96767002925773,11.2739127714168,1.23817578668472e-07,0.001319255463457,4.54677900619077,4
"2","CTAG1A",1.75728950825412,3.24485531654529,11.1771003426447,1.35872646733302e-07,0.001319255463457,4.51005373984307,4
"3","PAX2",1.3326095843922,4.35018479809302,8.73376901339326,1.822390077155e-06,0.0117963309694243,3.33311748169496,4
"4","MAML2",1.09062319318534,4.46804590181164,7.83107885192186,5.48924267366894e-06,0.0266489008699943,2.74357433515098,4
"5","NFE2",-1.00091810648989,3.49105932669107,-7.29386472557788,1.10523089003127e-05,0.041841579498482,2.3418385137245,4
"6","HNF1B",0.991982279215225,4.75664205478061,7.17706729829552,1.29280332144236e-05,0.041841579498482,2.24896964493156,4
"7","NO_SITE_270",0.993208589251515,4.26643568530048,6.95897081264,1.74034853610308e-05,0.0482797546036939,2.06999753921349,4
"8","ARHGEF1",0.949314101966493,4.27222748128867,6.84697576181348,2.03212795156651e-05,0.0493273658643376,1.97520982106084,4
"9","LRIG1",-0.919850656655434,2.85648862605251,-6.52212184289443,3.21519608156481e-05,0.0675939043344592,1.68880851372717,4
"10","PPARG",-0.966203746671594,3.09520889089527,-6.46690014955941,3.48081282941754e-05,0.0675939043344592,1.63838628030052,4
"11","NO_SITE_453",0.92080892313331,4.82751486599767,6.259756420922,4.70522779130831e-05,0.0830643804358328,1.44462207569307,4
"12","MYC",-0.890431730018907,4.57292833789881,-6.03959801485377,6.52360129003879e-05,0.105568177876053,1.23051184295365,4
"13","ARID5B",0.843071173832862,4.91089955283206,5.80052014253996,9.37317962495039e-05,0.117508076095349,0.988215123531377,4
"14","TNFSF10",0.967892137462409,4.88139648862002,5.77977843021729,9.67622194936538e-05,0.117508076095349,0.96670585999232,4
"15","NFE2L2",-0.796119710623656,4.26839582200916,-5.75310416041825,0.000100812803764313,0.117508076095349,0.938928906137444,4
"16","AMY1B",1.11260476450985,4.10830549763109,5.75293056383945,0.000100839745804499,0.117508076095349,0.93874770673296,4
"17","CCND1",0.875492983727735,5.28690305590541,5.73998682657,0.000102870245307222,0.117508076095349,0.925221530630526,4
"18","NO_SITE_144",0.810122056433217,4.23197595545142,5.69365861765661,0.000110500017786195,0.119211102521674,0.876556676366796,4
"19","SCGB3A1",0.834575772264826,4.50609623199686,5.57794458654007,0.000132295559077069,0.135213024300926,0.753278190166398,4
"20","WNT3",0.806178231064702,4.19725158752704,5.32802922993937,0.000196427030000143,0.190720824778639,0.478530268841709,4
"21","KLK9",0.697218335436504,4.25934914644959,5.29450678890377,0.00020726099981235,0.191657207397906,0.440787836300541,4
"22","TRERF1",0.698739761872517,3.42557331395141,5.18402812020615,0.000247655031254736,0.218600593269805,0.314906874131609,4
"23","SLCO4C1",0.687302988407444,3.41817699936851,5.14523431840846,0.000263741054938032,0.222677719384419,0.270160174728929,4
"24","POF1B",-0.664766318262326,3.64437241690248,-5.0596708960418,0.000303236747115517,0.239092196651006,0.170466431160417,4
"25","HAPLN3",0.724119561487565,4.09200275254801,5.04679086485837,0.000309701410446441,0.239092196651006,0.155340145515586,4
"26","RND2",0.720377982541333,4.01382630812266,5.02661816547248,0.000320119321948924,0.239092196651006,0.131586728735646,4
"27","LCE5A",0.697823452927476,4.54087891215211,4.92274973311248,0.0003799135073601,0.27324223701577,0.00807258546081346,4
"28","SOX6",-0.657681656919084,3.95086060567065,-4.82850479052294,0.000444351862062488,0.308173886049695,-0.10574436006129,4
"29","LBX1",-0.644813060819768,3.57437935097493,-4.80376918500167,0.000463098168614181,0.310100115045475,-0.135891019905098,4
"30","UBALD2",-0.841344287538687,3.72723525091319,-4.77955291076522,0.000482255777382261,0.312164164699538,-0.165514806387675,4
"31","FGF9",0.800184068709083,5.04965213796874,4.74665255012244,0.000509624481976138,0.313412076228275,-0.205935930598868,4
"32","C2orf83",0.657232069164864,4.02690821542225,4.71515434048448,0.000537354705841113,0.313412076228275,-0.244821807040074,4
"33","CCND2",0.714213773516203,3.5719970330365,4.69257924865865,0.000558198719142259,0.313412076228275,-0.272804190507497,4
"34","NO_SITE_330",-0.620963355794041,3.66455307219867,-4.68718903236951,0.000563299729792747,0.313412076228275,-0.279499357025252,4
"35","NO_SITE_256",0.62616105322335,4.47893335699081,4.68552856292354,0.000564880924248912,0.313412076228275,-0.281562894959475,4
"36","TUBD1",-0.885780632,3.25683808625,-4.66411623444523,0.000585692463693253,0.315932276457202,-0.308218261486815,4
"37","USP17L29",-0.6336563155,3.01882780675,-4.52638823924232,0.000740232691807571,0.386918141884988,-0.481668084104219,4
"38","CDA",0.651488385389175,3.70742371166076,4.50130596909306,0.00077269008699516,0.386918141884988,-0.513624814035333,4
"39","CATSPER3",0.61899705389259,3.81226905881874,4.49801022132343,0.000777064088445056,0.386918141884988,-0.517832226568254,4
"40","CNGA3",0.585740471201058,3.84335255717686,4.46412794787738,0.00082355954255694,0.39981756892283,-0.561199392599971,4
"41","KIAA0368",0.601059743547061,5.30870358566944,4.4334397175239,0.000868178856368257,0.406144821767923,-0.600654509816916,4
"42","SERPINA7",0.593870710773103,3.99669960874544,4.42662677638793,0.000878422293333992,0.406144821767923,-0.609436349238529,4
"43","MAGEB6",0.630790623489726,4.26665201518967,4.36352045635586,0.000979512745652786,0.442352511810034,-0.691167723607301,4
"44","NO_SITE_339",-0.589692026773344,3.85011637688631,-4.31259243571041,0.0010699049823235,0.465778169255322,-0.757632294475814,4
"45","MCF2",0.630588844814795,5.19813603962612,4.30060696465517,0.00109241402369093,0.465778169255322,-0.773339176269749,4
"46","MYRF",-0.569325899319893,2.88063052896536,-4.26121856810449,0.00116992023808524,0.465778169255322,-0.825130369199712,4
"47","GLIS3",0.565808061985677,4.4289907589956,4.23256364690629,0.00122988452084461,0.465778169255322,-0.86297372152149,4
"48","SLC39A14",0.592473639755299,3.11134898693014,4.23224652502559,0.00123056573172993,0.465778169255322,-0.863393305629927,4
"49","NO_SITE_155",-0.61235566700915,4.81806000115983,-4.22662999063465,0.0012426958214714,0.465778169255322,-0.870827344903267,4
"50","HS3ST1",-0.603343036686918,4.22270804742756,-4.22014796928177,0.00125684970025008,0.465778169255322,-0.879413522547856,4
"51","NSD2",-0.562992826758123,3.25765526057803,-4.21973180714244,0.00125776411800718,0.465778169255322,-0.879965017425162,4
"52","PGAM4",0.55605181581628,3.59932742226057,4.21657577779939,0.00126472128208212,0.465778169255322,-0.884148307196386,4
"53","HSPA12B",0.583633070476594,3.7320174331958,4.18715284262782,0.00133153742531149,0.465778169255322,-0.923228135540321,4
"54","HIST1H2BF",-0.550387121532245,3.78880140591656,-4.1854228125796,0.00133557848029618,0.465778169255322,-0.925530459023076,4
"55","FKBP1B",0.561825258575582,3.97823773518268,4.17780764177234,0.0013535181832371,0.465778169255322,-0.935670618158601,4
"56","SBSN",0.573049441188239,3.65132048174497,4.1726141894869,0.00136589617626864,0.465778169255322,-0.942591580048687,4
"57","GRK4",-0.710901741405069,4.36240766951049,-4.17207645850234,0.00136718449186639,0.465778169255322,-0.943308432068073,4
"58","SLC22A11",-0.573417586688297,3.80865109951205,-4.14627769369734,0.00143049972334541,0.478946105649044,-0.9777567873261,4
"59","PLA2G4A",0.585665961684156,3.98413144500931,4.12209924363174,0.00149260190959665,0.48551905900406,-1.0101403984023,4
"60","IGF2BP3",-0.6436999624563,3.01726172569364,-4.10718756534292,0.00153229041705849,0.48551905900406,-1.03015978335732,4
"61","WDR45B",0.546565165665351,3.97826608280442,4.10166584620757,0.00154726307770859,0.48551905900406,-1.03758196676993,4
"62","NO_SITE_117",-0.539358753137702,3.98655721702184,-4.10061097590542,0.00155014066935742,0.48551905900406,-1.03900046056214,4
"63","FGF4",0.571741812676627,4.39035842590539,4.05197135203813,0.00168903345421446,0.494724624977657,-1.10459979847091,4
"64","TOB1",0.611352730176112,2.84929422326196,4.03777591087231,0.00173195349607296,0.494724624977657,-1.12381560964513,4
"65","NR2F1",-0.538027330770369,3.46862342650751,-4.03717560263034,0.00173379322616022,0.494724624977657,-1.12462892115019,4
"66","ZNF160",0.578376823537603,3.2482428014568,4.03298802405711,0.00174668305982662,0.494724624977657,-1.13030392054799,4
"67","ZNF318",-0.543455408946435,3.81038678469763,-4.02953260701669,0.00175739389667702,0.494724624977657,-1.13498876278656,4
"68","MAP4K4",0.529398874911425,3.26316689022061,4.0196198588218,0.00178849951338129,0.494724624977657,-1.14843877681838,4
"69","SSX4",0.529561939499999,3.9470293495,4.0082806787481,0.00182478082633888,0.494724624977657,-1.16384297575144,4
"70","CPN2",0.549171744090167,4.47756323932658,4.00645340304864,0.00183069831566804,0.494724624977657,-1.16632718245039,4
"71","EIF4E3",0.541450442073864,3.61952752771419,3.99844507665543,0.00185686773530523,0.494724624977657,-1.177220700392,4
"72","SMAD6",0.595256697814281,4.81497430096047,3.99822882229929,0.00185757974785914,0.494724624977657,-1.17751500280295,4
"73","IMPAD1",0.531414768663911,4.3344430861787,3.99756375542561,0.00185977123556151,0.494724624977657,-1.17842014319072,4
"74","SMAD1",-0.552967820538818,3.96505382134984,-3.97984120637063,0.0019191651636179,0.502194633066814,-1.20256515576199,4
"75","NCOA4",0.573441037088098,4.16489912143748,3.9694403589935,0.00195493167403258,0.502194633066814,-1.21675753535348,4
"76","CIT",-0.539108176649816,4.26122542599021,-3.96642320065095,0.0019654355071362,0.502194633066814,-1.22087765244384,4
"77","KCNA7",-0.532250333838021,3.75689276315081,-3.956174375399,0.00200155307641946,0.504781288194669,-1.23488337013295,4
"78","NO_SITE_328",0.524637942117527,4.61680489514037,3.90945912264174,0.00217507604171948,0.520725059965084,-1.29892275230002,4
"79","SPPL2A",-0.604654360285989,4.11914574278917,-3.90418675851918,0.00219561264264048,0.520725059965084,-1.30617071081713,4
