"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"1","PTMS",-2.70962794388594,3.02604529088973,-39.5342007798173,7.05017418069394e-08,0.000543324734921194,8.54483389337256,4
"2","ZNF296",-2.41102830665692,2.62006750377034,-39.012497811055,7.57455169843379e-08,0.000543324734921194,8.50203844192279,4
"3","SAMHD1",-2.61573098590176,2.77009626209142,-38.2776386528719,8.39370824843494e-08,0.000543324734921194,8.43980578462851,4
"4","KIF2C",-2.11102921382667,2.43255164881115,-33.0942108458373,1.84079179617887e-07,0.000609882655714172,7.92611353937422,4
"5","PRDM1",-2.29388657639362,2.42475488619165,-32.6535207760892,1.97882025397023e-07,0.000609882655714172,7.87549928874543,4
"6","ZC3HAV1",-1.9046619095442,2.33407563407897,-30.6934940632103,2.76284897036669e-07,0.000609882655714172,7.63478766017512,4
"7","BMPR2",-2.26413176904986,2.95355906612853,-30.2541235763011,2.98611663417043e-07,0.000609882655714172,7.57709429773759,4
"8","UBE2D1",-1.78970120636063,3.24692365365394,-28.5977907212151,4.04436157443824e-07,0.000609882655714172,7.34606416743981,4
"9","SGCE",-2.2520894344909,2.64350591604285,-28.3084595043085,4.27203833682047e-07,0.000609882655714172,7.30338113846862,4
"10","PHLDA1",-1.78265118534199,3.35067378092586,-28.1775574542553,4.3800121375869e-07,0.000609882655714172,7.28383097272827,4
"11","ETS1",-1.76027270560549,2.22190919177972,-28.0525747203822,4.48612990142272e-07,0.000609882655714172,7.26502395952281,4
"12","HGF",-2.04768064944373,2.77466066712311,-28.0150008942355,4.51862526668369e-07,0.000609882655714172,7.25934286130255,4
"13","ELF3",-1.78787873649284,3.71576619457799,-27.9456940316007,4.57929849077076e-07,0.000609882655714172,7.24883071824271,4
"14","TRANK1",-1.77859949959284,3.43861518967882,-27.9298945964544,4.59326441943601e-07,0.000609882655714172,7.24642831305966,4
"15","FOXA2",-1.73707221044391,3.75543015642276,-27.7989504782604,4.71097370395622e-07,0.000609882655714172,7.2264309251633,4
"16","PHLDA2",-2.02408753471654,3.27968881719555,-26.9281129807985,5.59140976141338e-07,0.000673501395388382,7.08940990394196,4
"17","NQO1",-1.64141266733599,3.43841297180638,-26.4660597104544,6.1372389298701e-07,0.000673501395388382,7.01375634167905,4
"18","ERN2",-1.61180479539276,3.73895419355097,-25.875507035592,6.92948924697106e-07,0.000673501395388382,6.91393298819551,4
"19","PTPN12",-1.88818579622739,3.30858514209157,-25.7682695040621,7.08603431332866e-07,0.000673501395388382,6.89541794782954,4
"20","SLC26A3",-1.64562145650749,3.07370249526621,-25.5881992600087,7.35841912943202e-07,0.000673501395388382,6.86405335659513,4
"21","CRX",-1.57785319220829,3.65945592231467,-25.1335258999557,8.1032263133826e-07,0.000673501395388382,6.78329601939146,4
"22","CDKN2C",-1.78467885792537,2.28403593791283,-25.1211157772723,8.12477465289435e-07,0.000673501395388382,6.78105985801873,4
"23","KRT18",-1.60542424538356,3.01254515603247,-24.9282304699781,8.46856795867729e-07,0.000673501395388382,6.7460822117524,4
"24","MAGEB4",-1.5953329505471,3.20309602587402,-24.8826110423447,8.55237842061851e-07,0.000673501395388382,6.7377482358324,4
"25","MC1R",-1.59564528110805,3.38183568697664,-24.4549457488703,9.38774559416733e-07,0.000673501395388382,6.65845762553281,4
"26","GATA6",-2.10875372440449,2.74784665081779,-24.3239745541606,9.66264342533235e-07,0.000673501395388382,6.63374793564889,4
"27","LRRC15",-1.83072568704873,2.97262913584957,-24.3145022071498,9.68289186854471e-07,0.000673501395388382,6.63195294732635,4
"28","CDKN1A",-1.77970523956013,1.99353063520791,-24.0880702958926,1.01822032972089e-06,0.000673501395388382,6.58872473695537,4
"29","HELZ2",-1.51478846837599,2.36439681506228,-24.0424185040868,1.02865277073132e-06,0.000673501395388382,6.57993437845935,4
"30","MDM2",1.49219821176226,5.30199208956352,23.9220499520264,1.05677174013228e-06,0.000673501395388382,6.55663524074972,4
"31","BTBD2",-1.60782495369395,3.93268448846524,-23.8453641441261,1.07516057763221e-06,0.000673501395388382,6.5416987628928,4
"32","SLC8A2",-1.53748865914502,3.21088661018043,-23.5578114234455,1.14757115704301e-06,0.000692635769786978,6.48503889002486,4
"33","NEDD1",-1.74254225828424,3.32865219134766,-23.4468647439809,1.17704209294867e-06,0.000692635769786978,6.46289899058851,4
"34","PRC1",-1.47569937988439,3.011912114136,-23.0483839296831,1.2905395554459e-06,0.000729210296168714,6.38207165371916,4
"35","OTOP2",-1.77157273892129,2.99512792615196,-22.8638830171692,1.3474503556378e-06,0.000729210296168714,6.34394064638305,4
"36","RASSF7",-1.58972861759794,3.69867246876798,-22.6989455565407,1.40085498058333e-06,0.000729210296168714,6.30946589062708,4
"37","PKDCC",-1.46633721770539,2.87131782109324,-22.594337333544,1.43602423694747e-06,0.000729210296168714,6.28740921989422,4
"38","PLAGL1",-1.62271275221124,3.15796450103807,-22.5863274305013,1.43875995922203e-06,0.000729210296168714,6.28571414641699,4
"39","KIF18B",-1.7195515915828,3.15305229286163,-22.5118232346186,1.46450391629743e-06,0.000729210296168714,6.26990503683287,4
"40","NUP98",-1.45851957750425,3.32021612108966,-22.2730166797796,1.55077194882718e-06,0.000752861011856875,6.21871206794512,4
"41","CEACAM1",-1.50541124994368,3.03405378736487,-22.0086561385666,1.65337785757704e-06,0.000767615092782733,6.16110037706816,4
"42","FATE1",-1.40421210901735,3.67058034722894,-21.9917189157855,1.66022111833126e-06,0.000767615092782733,6.1573750696525,4
"43","BAK1",-1.36848609757227,2.62749681917403,-21.7961130359339,1.7417316737894e-06,0.000786574124960845,6.1140493210081,4
"44","RAI2",-1.37405811997588,3.43613969471556,-21.62262010925,1.81801422262742e-06,0.00079768190329152,6.0751500457945,4
"45","FOXA1",-1.47192902468885,3.09876087263701,-21.5557153787803,1.84848270498576e-06,0.00079768190329152,6.06002923882424,4
"46","PSME2",-1.4975184510121,3.34006790651167,-21.307525276486,1.9669118476865e-06,0.000830336112396178,6.003345401978,4
"47","IFNG",-1.35130891974163,3.73077008831735,-21.1874283436905,2.0274300597855e-06,0.000837673709169674,5.97557765249944,4
"48","MEIS2",-1.3439690192632,3.58039510374334,-21.0782472571495,2.08436704193425e-06,0.000843256741402524,5.95013918402876,4
"49","PPP1R16B",-1.45845518187873,3.38433972453027,-20.8845206128028,2.1901189621378e-06,0.000867957553586814,5.90454019997426,4
"50","EIF2AK2",-1.58544612422629,3.04761669310634,-20.5975694979054,2.35866106710633e-06,0.000884575132474482,5.83589287183862,4
"51","EPC2",-1.37947893043138,3.49094970544548,-20.5879667438746,2.3645614514696e-06,0.000884575132474482,5.83357244208063,4
"52","FOXD4L6",-1.29459216171068,3.5012903688241,-20.5713060711169,2.37484002088819e-06,0.000884575132474482,5.82954292889692,4
"53","LDB2",-1.281250558697,3.28235988630926,-20.5081940582937,2.41425830481217e-06,0.000884575132474482,5.81423734369353,4
"54","BHLHA15",-1.28708990750324,3.15422958198696,-20.3918537995717,2.48896859278286e-06,0.000895060761171303,5.78585019245634,4
"55","BMP2",-1.24994119700759,3.2041480883467,-20.2306425024402,2.59706308953078e-06,0.000911257343234394,5.74613991844388,4
"56","MAD2L1BP",-1.73571284105679,2.23950919604118,-20.1138228991373,2.67886981220988e-06,0.000911257343234394,5.71708920129468,4
"57","CEBPB",-1.47032800154077,3.00794514176089,-20.0395597983544,2.73246006544971e-06,0.000911257343234394,5.69849988814047,4
"58","IFI16",-1.52778479655854,3.2838751725518,-19.9668627705356,2.78615230642208e-06,0.000911257343234394,5.68021032191456,4
"59","SLC5A1",-1.800299796818,2.48728263956041,-19.9436422729232,2.80356462421734e-06,0.000911257343234394,5.67434902830398,4
"60","TNFRSF10B",-1.22939059908729,2.49389315005106,-19.8125343599738,2.9043276192587e-06,0.000911257343234394,5.64107797971712,4
"61","TNNC1",-1.26185259102195,3.20937711589699,-19.7829325493374,2.92766709233573e-06,0.000911257343234394,5.63352413573492,4
"62","CKAP2",-1.26888739850182,3.33429648176895,-19.7563029950167,2.9488527922585e-06,0.000911257343234394,5.62671551056027,4
"63","LOC100129112",-1.23856894834992,3.35717757744315,-19.7469429688576,2.95634237724738e-06,0.000911257343234394,5.62431935961232,4
"64","EPHA2",-1.45257748339063,2.50108495844528,-19.6662238345124,3.02187323241923e-06,0.000916902442192954,5.60359070244607,4
"65","SNRNP70",-1.40244649933182,3.17304687120863,-19.5828350056431,3.09138299069909e-06,0.000923562558405934,5.58205403952173,4
"66","SLC45A4",-1.64273857276757,3.19605882291619,-19.4806692212601,3.17913833628154e-06,0.000930269926367032,5.55549685645553,4
"67","RNF8",-2.19865821499723,3.24463980875749,-19.4452574987251,3.21024040523818e-06,0.000930269926367032,5.54624759750671,4
"68","CCNA2",-1.19850215406496,3.29753594309954,-19.3921634961136,3.25754956449653e-06,0.000930269926367032,5.53233691465025,4
"69","GJA3",-1.4830207347202,3.51702891117508,-19.3349943502361,3.30941444725119e-06,0.000931384335524214,5.51730065143409,4
"70","ETS2",-1.23832731329487,3.37309686716714,-19.0509574195396,3.5820423120057e-06,0.00099108862848385,5.44169373510839,4
"71","MCMBP",-1.27207459332691,3.01941288290452,-18.8688894694069,3.77078515381211e-06,0.00099108862848385,5.3924269485936,4
"72","PRAG1",-1.68615523601834,3.04130495391358,-18.812595229917,3.83150663049131e-06,0.00099108862848385,5.37706489346514,4
"73","PHACTR2",-1.378729473323,3.51589148679382,-18.7681119319008,3.88030703597628e-06,0.00099108862848385,5.36488238605817,4
"74","MX2",-1.21627140041128,3.37678561096286,-18.7270033867697,3.92605967113418e-06,0.00099108862848385,5.35358979263676,4
"75","SLC13A2",-1.68072917678336,3.29237353885455,-18.6976487195463,3.95912110411174e-06,0.00099108862848385,5.34550576003698,4
"76","CT47A10",-1.25634483376363,3.49302629467726,-18.6741105614921,3.98586949296903e-06,0.00099108862848385,5.33901131898401,4
"77","TULP1",-1.19828102065638,3.46827753519672,-18.6539564066826,4.0089422573894e-06,0.00099108862848385,5.3334418934268,4
"78","AHNAK",-1.49510059844022,3.38028505656026,-18.6080622289543,4.06207429367443e-06,0.00099108862848385,5.32072950730647,4
"79","IGF2BP3",-1.38154627099287,3.38618487996193,-18.5735421722496,4.10258746415267e-06,0.00099108862848385,5.31114017928347,4
"80","NEUROG2",-1.2432305330111,3.40975934234953,-18.5507923363186,4.12954814352813e-06,0.00099108862848385,5.30480755076731,4
"81","HIC1",-1.39559720337636,3.23427536234443,-18.5470512600303,4.13400169458735e-06,0.00099108862848385,5.30376520028895,4
"82","APOBEC3C",-1.45924136834811,3.33958379689553,-18.4876146271838,4.20552522548338e-06,0.000995940175044655,5.28716727116445,4
