"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"1","APOBEC3A",-4.36304211280781,3.55465185771615,-164.203671241907,8.46943420439568e-12,1.31022147142001e-08,18.033153596024,6
"2","SAMHD1",-4.69978759934487,3.41253499820286,-136.634395469305,2.4419560713788e-11,1.8888530212115e-08,17.1618855365813,6
"3","IL6R",-2.73296699448915,4.84868138114968,-114.645441396097,6.71004163540163e-11,1.98665533568164e-08,16.150311118597,6
"4","ISG20",-2.89751856664347,4.31437557292228,-110.498002408233,8.29667133773029e-11,1.98665533568164e-08,15.956135808267,6
"5","TAGAP",-2.8905002061906,4.67422188587655,-105.94526425965,1.05720208522482e-10,1.98665533568164e-08,15.8049712154804,6
"6","CKAP2",-2.83739799837733,4.98014552911408,-104.333614367477,1.15479241658501e-10,1.98665533568164e-08,15.704058519439,6
"7","HGF",-3.15461482150384,3.60961180823177,-102.524778593091,1.27718176331631e-10,1.98665533568164e-08,15.6195731775016,6
"8","SGCE",-2.69915070641746,4.59917681181237,-102.11852575263,1.30672565391729e-10,1.98665533568164e-08,15.6013523462303,6
"9","TNFRSF10A",-3.14482293705922,2.88523133479416,-103.145105849941,1.23356800483242e-10,1.98665533568164e-08,15.5942957528882,6
"10","CDC42EP4",-2.83155817054108,5.22318337951029,-100.746330584156,1.41261853215889e-10,1.98665533568164e-08,15.511048963524,6
"11","MACIR",-2.66980164877443,4.51475070783001,-101.091702855275,1.38504636427039e-10,1.98665533568164e-08,15.504683109017,6
"12","TTC6",-2.60317466935543,4.44609068078674,-96.8257183997428,1.77546620081855e-10,2.03245439454919e-08,15.2888994046246,6
"13","MAD2L1BP",-4.33298825879397,3.58931103451417,-95.4349846042902,1.92974467942492e-10,2.03245439454919e-08,15.2029112706014,6
"14","MXI1",-2.31583906022504,5.11772888262178,-95.2868644028889,1.94708537578524e-10,2.03245439454919e-08,15.1936991228081,6
"15","EPHA2",-3.76226307541763,3.71784244639133,-93.7483127119111,2.13846056003375e-10,2.03245439454919e-08,15.1000574293812,6
"16","FOXA1",-2.60888935197828,4.35663958890297,-92.7026499852016,2.28116369886593e-10,2.03245439454919e-08,15.0410288932229,6
"17","SOX9",-2.29862462383031,5.3688908286973,-92.6002276421615,2.29573327013647e-10,2.03245439454919e-08,15.0312940992576,6
"18","TP53",-1.95238473798251,5.33247989128334,-91.7098903908514,2.42709244179035e-10,2.03245439454919e-08,14.9796670570896,6
"19","RNF8",-3.95391388119897,4.05714745739825,-91.263724828771,2.49622711677017e-10,2.03245439454919e-08,14.9467015288109,6
"20","KIF18B",-3.69600777664974,3.88480888895382,-89.2100417411146,2.8458309853246e-10,2.20125026714858e-08,14.8224436964886,6
"21","PEG10",-2.77139871395099,4.54617717860088,-87.2042805817197,3.24401966628303e-10,2.38976115416183e-08,14.6624835534327,6
"22","NANOS2",-1.78162962049439,5.31843682925344,-85.2447152077223,3.69763382415405e-10,2.4488067036775e-08,14.5597543382837,6
"23","CCNE2",-2.49907649055999,4.50020896583159,-84.1303399895992,3.98871570318275e-10,2.4488067036775e-08,14.4856855834791,6
"24","GJA8",-2.0461996262319,5.39514294524743,-83.5840702442253,4.1411845405097e-10,2.4488067036775e-08,14.4430321426084,6
"25","MBD3L2",-2.56965567968327,4.86892215403151,-82.6168601272555,4.42825259017812e-10,2.4488067036775e-08,14.3658023058067,6
"26","MBD3L2B",-2.56965567968327,4.86892215403151,-82.6168601272555,4.42825259017812e-10,2.4488067036775e-08,14.3658023058067,6
"27","OVOL2",-1.98824111332941,4.98847014615782,-81.56229984937,4.76825280141986e-10,2.4488067036775e-08,14.2847930918267,6
"28","PAGE4",-2.56496742576004,4.80206395381756,-80.9601932897804,4.97609667503665e-10,2.4488067036775e-08,14.2594398536669,6
"29","LCE2C",-2.32506582964182,5.30692237647746,-81.2707177926677,4.86760637328319e-10,2.4488067036775e-08,14.2393338987517,6
"30","SNRNP70",-3.37751924238,4.08407673418685,-80.4206384251529,5.17142962857191e-10,2.4488067036775e-08,14.2229803094645,6
"31","CDKN2C",-2.82833620531126,4.5331918323272,-80.3207267888736,5.20858019356798e-10,2.4488067036775e-08,14.2158070818077,6
"32","KIF2C",-3.52258909070826,4.19192745250105,-80.0281486230263,5.31918553294512e-10,2.4488067036775e-08,14.1788779211717,6
"33","PTMS",-2.71608143591815,4.02894502540718,-79.6210943818374,5.47768561241726e-10,2.4488067036775e-08,14.1262824192723,6
"34","CDCP1",-1.60889360213056,5.49049396962082,-79.4641158425762,5.54028665990385e-10,2.4488067036775e-08,14.1169128314126,6
"35","HELZ2",-3.65573872737754,2.84939578214384,-79.5096738541241,5.52203263921614e-10,2.4488067036775e-08,14.100346013799,6
"36","LCE2B",-2.04961383492621,5.49484524473811,-78.9841807844854,5.73695123637804e-10,2.46529543407689e-08,14.0787050499777,6
"37","SLC13A2",-3.06419628011408,4.6781817086531,-78.3015586407001,6.03096591343865e-10,2.52159574813232e-08,14.0566077849565,6
"38","TNNC1",-2.44326947894681,4.76940434216282,-77.2894866944379,6.50007671977755e-10,2.557540180108e-08,13.9955774146471,6
"39","LOC124904176",-3.05119042589009,4.48747385141198,-76.5840321364396,6.8524650704613e-10,2.557540180108e-08,13.9410811027479,6
"40","ERN2",-2.27732061059873,5.13253375444019,-76.256884640409,7.02346264397708e-10,2.557540180108e-08,13.9099954223991,6
"41","RND1",-1.96093578901239,5.50757631419644,-76.096965668566,7.10887057172876e-10,2.557540180108e-08,13.8992603160134,6
"42","EHD1",-1.69950436746334,5.41070785751677,-76.2871065488358,7.00745761080446e-10,2.557540180108e-08,13.8820243984444,6
"43","MIR10392",-1.69950436746334,5.41070785751677,-76.2871065488358,7.00745761080446e-10,2.557540180108e-08,13.8820243984444,6
"44","EEF1A1",-2.18888533204832,5.17482563830213,-73.8678846186094,8.4360478566672e-10,2.96603773506004e-08,13.7272074689978,6
"45","PTPN14",-2.24721160657004,4.54593557542713,-73.5796081983108,8.62811649644621e-10,2.96615471555606e-08,13.68053170623,6
"46","ZNF800",-1.80578787589409,5.21006740107236,-72.2768976670437,9.56268607308984e-10,3.21597290327608e-08,13.6058914104177,6
"47","SLC6A14",-1.9058030630365,5.45120893199885,-71.7121154062876,1.00044657494599e-09,3.224355940503e-08,13.558685784359,6
"48","UBP1",-1.46968293858217,5.56773691008908,-71.8682743052479,9.87996416627927e-10,3.224355940503e-08,13.5415941286882,6
"49","IGF2BP3",-1.6752045064665,4.92618030956268,-70.5834408435868,1.09611770108474e-09,3.26511612926581e-08,13.4709115468302,6
"50","CSRP1",-2.21313600198682,5.01927614808903,-70.9284153346765,1.06577985159266e-09,3.26511612926581e-08,13.4404818759778,6
"51","PTPN22",-2.17600716557265,5.60019536021516,-70.910736771302,1.06731039336545e-09,3.26511612926581e-08,13.4274285951457,6
"52","MIR1-1HG",-2.42739450775321,5.11629331464876,-70.419062962297,1.11092929662631e-09,3.26511612926581e-08,13.4115979770952,6
"53","FATE1",-2.84415790482094,4.93402798428601,-69.7483379622235,1.17385244652436e-09,3.26511612926581e-08,13.3919145816237,6
"54","MBD3L3",-1.66614692558496,5.52570203754524,-70.2632490933626,1.12518646325611e-09,3.26511612926581e-08,13.3745959689268,6
"55","TRIM43",-1.50344389091943,5.27012997985568,-69.6651711780762,1.18194249023197e-09,3.26511612926581e-08,13.3400433117669,6
"56","TRIM43B",-1.50344389091943,5.27012997985568,-69.6651711780762,1.18194249023197e-09,3.26511612926581e-08,13.3400433117669,6
"57","OTOP2",-2.93542236024283,4.20547553408797,-69.2458746654363,1.22373967847322e-09,3.32127242561066e-08,13.3293205752119,6
"58","SLFN11",-1.4301775863077,4.15070920771368,-68.2485496720462,1.33032468641473e-09,3.52616395735348e-08,13.2123029830097,6
"59","BMPR2",-3.49366727239517,3.83674081866757,-68.1201827101663,1.34482012594606e-09,3.52616395735348e-08,13.1585827825224,6
"60","HIC1",-2.36990515420723,4.78322120445323,-66.79622943609,1.50566944139283e-09,3.7562994132852e-08,13.094055427271,6
"61","NUSAP1",-1.29193837835902,5.88469236263047,-66.6126261727933,1.52971469319307e-09,3.7562994132852e-08,13.05807377441,6
"62","OIP5",-1.29193837835902,5.88469236263047,-66.6126261727933,1.52971469319307e-09,3.7562994132852e-08,13.05807377441,6
"63","TUBB2A",-1.62383730451662,5.33232040787401,-66.9653101051253,1.48391751244092e-09,3.7562994132852e-08,13.0292082680233,6
"64","HNF1B",1.63800638228658,7.60227190849294,66.3722054965813,1.56188561173306e-09,3.77537037711101e-08,13.0234798018693,6
"65","IFNL2",-3.62053272314544,3.7018132019431,-65.8394065150182,1.63605216419381e-09,3.83480711819368e-08,13.021733601404,6
"66","LATS2",-1.75098586928933,4.93323181070117,-65.9670745348831,1.6179107821057e-09,3.83480711819368e-08,12.9886800925954,6
"67","NQO1",-3.09073261766888,4.50954308001995,-65.1492586436745,1.73835490964506e-09,4.01378364958344e-08,12.9470153786271,6
"68","ARHGDIB",-1.68647575632732,5.6440827013231,-63.969660434177,1.93113285301315e-09,4.39332724060492e-08,12.8620459724792,6
"69","TNFRSF10B",-2.74069733260595,3.31023729678152,-63.5537194063692,2.00501619601688e-09,4.49205938343016e-08,12.8015791092753,6
"70","SP100",-2.86404619488717,4.35167192702215,-63.4029864340708,2.03260605585075e-09,4.49205938343016e-08,12.7933517950087,6
"71","RFX4",-2.49660064740186,5.16730671330331,-63.0605714355733,2.09695338616458e-09,4.50553734499528e-08,12.759886899301,6
"72","CCNA2",-3.19173751750115,3.96859854227755,-62.8670151163882,2.13438357164164e-09,4.52313888401318e-08,12.7534350456482,6
"73","PPARG",-2.08706974811044,5.50804397337379,-63.2390374583562,2.06312217211345e-09,4.49528169050634e-08,12.7447208874479,6
"74","CHD8",-2.51918238428745,4.67897514304974,-62.2244107512649,2.26439669613766e-09,4.67069558523328e-08,12.6192455274724,6
"75","LOC124903283",-2.51918238428745,4.67897514304974,-62.2244107512649,2.26439669613766e-09,4.67069558523328e-08,12.6192455274724,6
"76","DINOL",-3.23341103839536,3.53088982231726,-61.987783014405,2.31459721624715e-09,4.71142354412413e-08,12.5703433543968,6
