"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"1","MYRF",2.65947521551545,5.50031474370718,39.1802380934873,2.52026376095569e-09,4.89410019739985e-05,11.0912632722987,4
"2","SAMHD1",-1.733671442804,3.19633960791922,-30.010131007761,1.55520337454833e-08,0.00015100247165177,9.97413314211719,4
"3","TMEM163",-1.50055026561222,2.78814657308806,-26.3907030314196,3.73088132422141e-08,0.000236309523998901,9.34191664187004,4
"4","SGCE",-1.34540513639041,3.17762902893722,-23.4610125727092,8.29872271551276e-08,0.000236309523998901,8.71442066147993,4
"5","NOTCH2NL",-1.37114366456815,2.99465145063736,-23.1714679218964,9.02825610630407e-08,0.000236309523998901,8.64567573998021,4
"6","PLK4",-1.43918468805105,2.90306926828088,-23.0326920321566,9.40375116352412e-08,0.000236309523998901,8.61225662265875,4
"7","TP73",-1.29849393312052,3.08508285537559,-22.8290058986951,9.98770345227888e-08,0.000236309523998901,8.56264424154229,4
"8","ATP6V1B2",1.34810408596962,5.1848409123449,21.6394305175062,1.43542398895835e-07,0.000236309523998901,8.258934852119,4
"9","NR4A1",1.44803256118492,4.72125261300682,21.6319968039327,1.43876820018535e-07,0.000236309523998901,8.25695888161679,4
"10","LARP1B",-1.20456636938703,2.73113332309717,-21.1923548622967,1.65337328095086e-07,0.000236309523998901,8.13810485724276,4
"11","MCOLN3",-1.24052230766452,2.65379415997817,-20.6073389636806,1.99818211850244e-07,0.000236309523998901,7.97468153612498,4
"12","ZEB2",-1.23965325714998,2.49250960518705,-20.3330962832076,2.18767781118813e-07,0.000236309523998901,7.89565879178197,4
"13","PAX2",1.18769636712755,4.86637009774123,20.2378464775684,2.25824201529068e-07,0.000236309523998901,7.86785467349681,4
"14","MDM2",1.81082001137357,5.8793946698992,20.1953440967252,2.29056654572552e-07,0.000236309523998901,7.85538760020948,4
"15","PAX5",1.12432933548894,4.39055506805142,20.1598340528553,2.31797930356285e-07,0.000236309523998901,7.84494287179189,4
"16","RND3",-1.21053253077077,3.21710444308591,-20.1074303553083,2.35912170127611e-07,0.000236309523998901,7.82948122616845,4
"17","FLI1",-1.11223001657016,3.46565437678974,-19.941470050873,2.49503443109191e-07,0.000236309523998901,7.7801349670635,4
"18","MBNL1",-1.16876803939579,2.83446150077105,-19.9275728632999,2.50681609122625e-07,0.000236309523998901,7.77597641732271,4
"19","HNF1B",1.16475000366404,4.99483750754987,19.8571198732663,2.56753180304052e-07,0.000236309523998901,7.75483104987844,4
"20","CUL3",-1.14290691307427,3.72997407736032,-19.7322671766847,2.67930697991444e-07,0.000236309523998901,7.7170972504396,4
"21","PAX8",1.17622527773398,4.65450807846339,19.6906944555141,2.71775252912075e-07,0.000236309523998901,7.70445820133687,4
"22","GRB10",-1.18259162028646,3.26038951706468,-19.669062498841,2.73800658589727e-07,0.000236309523998901,7.69786675298311,4
"23","BMPR2",-1.22030163750437,3.66910263529372,-19.6051470442555,2.79886660073882e-07,0.000236309523998901,7.6783315487563,4
"24","PTMS",-1.14888556896502,3.95287891093743,-19.3699871690599,3.0364905732506e-07,0.000240326120727395,7.60568249528139,4
"25","BHLHA15",-1.11138800833793,2.89643883223391,-19.3162712571859,3.0939559288248e-07,0.000240326120727395,7.58891497859365,4
"26","EPAS1",-1.1283505829696,2.99599832217661,-18.9778214861569,3.48598454021272e-07,0.000252393862102904,7.4817591324996,4
"27","TMEM55A",1.2347688156018,5.26156191969371,18.7901765890423,3.72766867350894e-07,0.000252393862102904,7.42120635993379,4
"28","GFI1",-1.1518879735078,2.77001456644582,-18.6625001408041,3.9030713520228e-07,0.000252393862102904,7.37952923683605,4
"29","IGF2",1.0535168544536,4.67549709642956,18.651163491266,3.9190966037091e-07,0.000252393862102904,7.37580980447646,4
"30","NR1D1",-1.36829637789726,2.95160818906128,-18.5442136163516,4.07403864830139e-07,0.000252393862102904,7.34056827125297,4
"31","GAP43",-1.03912267574698,3.63878667002918,-18.4991415175597,4.14142509848834e-07,0.000252393862102904,7.32563335466995,4
"32","RBMS1",-1.20830357965442,4.02152256719631,-18.2210106045989,4.58657829620916e-07,0.000252393862102904,7.23236835895152,4
"33","APOBEC3D",-1.05453252779168,3.16309245069931,-18.174908544339,4.66553337726906e-07,0.000252393862102904,7.21672311526801,4
"34","KLF2",-1.31817056845405,2.11606366852214,-18.1091630712388,4.78083281152033e-07,0.000252393862102904,7.19431899206627,4
"35","LRIG1",-1.07053865431133,2.7727384178201,-18.1085248057155,4.78196800697892e-07,0.000252393862102904,7.19410095397513,4
"36","GLIS3",1.22831597668021,4.96926656263336,18.0704672849913,4.8502159671226e-07,0.000252393862102904,7.18108141784157,4
"37","ATP6V0D2",1.25873926206875,5.0527370705637,18.0546863687058,4.87884169223941e-07,0.000252393862102904,7.17567193728228,4
"38","MAP4K4",-1.26077930065321,3.05204962906126,-18.0013147550145,4.97709578043138e-07,0.000252393862102904,7.15732977742546,4
"39","PRAG1",-1.21412134064721,2.81376379072847,-17.9458996043045,5.08151290008506e-07,0.000252393862102904,7.13820805176432,4
"40","OSR2",-0.999321036532975,3.36523554992473,-17.8172447662027,5.33373317715439e-07,0.000252393862102904,7.09350804382916,4
"41","TANC1",-0.995984569699547,3.16691161352466,-17.7726861451009,5.42440156842224e-07,0.000252393862102904,7.07792604409668,4
"42","PTEN",-1.34225786068888,3.01727451295152,-17.7559789377422,5.45885071750448e-07,0.000252393862102904,7.07207017650575,4
"43","TMEM14C",-1.13078900703688,3.23826529366885,-17.6132455453273,5.76357311768254e-07,0.000260285642726226,7.02174189245641,4
"44","TFEC",0.998267043237513,4.37741444775498,17.5250944783,5.96146760997429e-07,0.000263103953450206,6.99038867267001,4
"45","ACVR2A",-1.11755724736614,3.38340638209791,-17.3912462521729,6.27698465454879e-07,0.000266605286257364,6.94238166431572,4
"46","ATXN1",-1.14264638519903,3.03669229915771,-17.3754831425339,6.31538347383425e-07,0.000266605286257364,6.93669590925424,4
"47","MCOLN2",1.15616968820432,4.82854923681051,17.2943012067368,6.51744393330262e-07,0.000269281369661284,6.90730580007874,4
