"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"1","MYRF",2.62042540964275,8.02447994880536,57.593622358685,2.6378506586689e-07,0.00040807549689608,7.85066609068033,4
"2","EPHA2",-2.0473919216621,4.81967781674002,-44.8518769846211,7.6140089260456e-07,0.000427698488604523,7.06509360832881,4
"3","GATA6",-1.99545569014398,4.90835351245366,-41.7591600006521,1.03059377179571e-06,0.000427698488604523,6.81294504893355,4
"4","HNF1B",1.86861308627864,7.53540059687938,39.9981319373492,1.23695860200582e-06,0.000427698488604523,6.65537969130233,4
"5","SAMHD1",-1.85032610435641,5.40595272483083,-38.9623472179837,1.3823480562525e-06,0.000427698488604523,6.55747768341612,4
"6","APOBEC3A",-1.82192635634116,4.86679077631431,-34.6313801817153,2.27664080353602e-06,0.000524496872978325,6.1005655069064,4
"7","FOXA3",-1.62395813281187,4.80463223597149,-32.5063598350923,2.97629345912478e-06,0.000524496872978325,5.84418846364346,4
"8","ZEB2",-2.21239862222706,4.63226887716838,-31.1637845601223,3.55768693034499e-06,0.000524496872978325,5.66956212244152,4
"9","LOC107984510",1.42967544630833,7.03829622745178,30.7410067577001,3.76927245907777e-06,0.000524496872978325,5.61238195303705,4
"10","NR4A1",1.42967544630833,7.03829622745178,30.7410067577001,3.76927245907777e-06,0.000524496872978325,5.61238195303705,4
"11","BHLHA15",-1.39234127499166,5.456200930044,-30.5070312393445,3.89305429403445e-06,0.000524496872978325,5.58026736930989,4
"12","LATS2",-1.83423091336967,4.93827951407628,-29.4768887090067,4.50165300346951e-06,0.000524496872978325,5.43475025623847,4
"13","FOXO4",-1.35645756317486,5.28472173812486,-28.998190121371,4.82429023282986e-06,0.000524496872978325,5.36475616388256,4
"14","EPAS1",-1.65377551621984,4.81503954089867,-28.6291572799654,5.09267366861665e-06,0.000524496872978325,5.30972679082975,4
"15","MDM2",1.33752812147151,7.81350783233919,28.5153331647734,5.17915198392085e-06,0.000524496872978325,5.29256156300444,4
"16","MBNL1",-1.35898931654186,5.201986618515,-28.1433421123276,5.47471135313902e-06,0.000524496872978325,5.23582008063561,4
"17","RND1",-1.27036572493315,5.9653113336835,-27.8028461672024,5.76370190086071e-06,0.000524496872978325,5.18300287581129,4
"18","NRP2",-1.75332461079391,5.29504826001773,-27.0203408100966,6.50260201196125e-06,0.000532026623951162,5.05832537814059,4
"19","MXI1",-1.4245944768561,5.15210814962896,-26.4710068917304,7.09199479691903e-06,0.000532026623951162,4.96794739851182,4
"20","NEUROG2",-1.18370734621606,5.35048906585683,-26.3564313990946,7.22312548728075e-06,0.000532026623951162,4.94879048327753,4
"21","CCNE2",-1.37318409358366,5.26115563631657,-26.2065308067077,7.39923694536279e-06,0.000532026623951162,4.92356434682092,4
"22","PTEN",-1.60625989660224,5.18640515446948,-26.0686005749231,7.56598948088272e-06,0.000532026623951162,4.90018795868497,4
"23","FOXA1",-1.26015913221079,5.04471105791907,-24.8229464190441,9.30343639615947e-06,0.000625757221950378,4.68165404284839,4
"24","PTMS",-1.14606011330107,5.24720279769227,-24.2614890763632,1.02464960036009e-05,0.000660472054898773,4.57857062744045,4
"25","CEBPB",-1.66885209833118,5.0983936683329,-23.4005641062711,1.19336227838857e-05,0.000733594320461256,4.41458981666312,4
