"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"1","CCND2",0.895784091859153,6.68305568775805,14.2571691324776,8.48898370979372e-05,0.0888319536146111,2.10237125494653,4
"2","PTEN",0.795206542386461,4.78087847736159,11.8586130717097,0.000185044862743176,0.0888319536146111,1.53992670245573,4
"3","NRP2",0.824374279162128,4.83057309420184,11.4292241057538,0.000216118846731099,0.0888319536146111,1.41825751508567,4
"4","MKLN1-AS",0.716044927695413,5.95378636332857,11.0636868495892,0.000247741969173431,0.0888319536146111,1.3086957772922,4
"5","RND1",0.66633115857766,5.66329405050575,10.4591895440124,0.000313509763024993,0.0888319536146111,1.11440194227736,4
"6","LOC105375284",0.867131854674867,7.70646613036592,10.1117214032051,0.000361045200808443,0.0888319536146111,0.99472544506896,4
"7","EPHA2",0.602427877835154,4.09719579482655,9.02655506727804,0.000578746748117081,0.0888319536146111,0.578408449008564,4
"8","BHLHE40",0.898716229697156,5.85891635461466,8.96791249898128,0.000594563827028059,0.0888319536146111,0.553897695422932,4
"9","TBX21",-0.549248572911558,6.6114724505954,-8.80121471676734,0.000642497578346877,0.0888319536146111,0.483000534723756,4
"10","SAMHD1",0.560559778101804,4.76106956170353,8.54387699989204,0.00072612612050767,0.0888319536146111,0.369890312262712,4
"11","PAX2",-0.640091276860724,7.73226718533086,-8.54085132821489,0.000727185925381008,0.0888319536146111,0.368533226310526,4
"12","ICAM1",-0.553585329862587,7.20701405753953,-8.47654269100672,0.000750164251853936,0.0888319536146111,0.339536699526771,4
"13","MXI1",0.69040220157113,4.78501201198648,8.19310812079128,0.000862641331515778,0.0888319536146111,0.208183952308298,4
"14","HNF1B",-0.554616285296066,8.19239899737067,-8.1229157291759,0.000893609556049853,0.0888319536146111,0.174734962706604,4
"15","HELZ2",0.676468397961244,5.45093306697114,8.08764711110892,0.000909680919865249,0.0888319536146111,0.157786966322234,4
"16","FOXO4",0.59890760108902,4.90594675708194,8.06807158088733,0.000918753237125906,0.0888319536146111,0.148338999922397,4
"17","APOBEC3C",0.629334846294325,5.78770894513553,7.79721850819773,0.00105635549357104,0.0932982502564576,0.0145343514068763,4
"18","CCND1",0.892491552276532,6.26663567280575,7.59734902651095,0.00117421998089373,0.0932982502564576,-0.088009231858428,4
"19","LOC102724093",0.965468937432825,6.64206674303922,7.54733074907513,0.00120618293802789,0.0932982502564576,-0.114194655943684,4
"20","LOC102724117",0.965468937432825,6.64206674303922,7.54733074907513,0.00120618293802789,0.0932982502564576,-0.114194655943684,4
"21","KLLN",0.789091865286598,5.08506259693506,7.41898394948798,0.00129317372499076,0.095263797740986,-0.182369705537992,4
"22","NO_SITE_196",-0.465667835041641,5.46845113614738,-7.02128086822145,0.00161573983595807,0.106084245670103,-0.402966570471627,4
"23","NO_SITE_207",-0.48090537202326,6.03261453217105,-7.00743523360309,0.00162863389149102,0.106084245670103,-0.410910466510847,4
"24","PTENP1",0.849602480506372,4.67282900579556,6.91865071226301,0.00171435432563192,0.106084245670103,-0.46228717790049,4
"25","PTENP1-AS",0.849602480506372,4.67282900579556,6.91865071226301,0.00171435432563192,0.106084245670103,-0.46228717790049,4
"26","RAB42",0.51563027785736,6.32038069577437,6.79341906004538,0.00184478162098228,0.109764506448446,-0.536059814220673,4
"27","PTPRJ",0.412170077838243,5.96497374251846,6.58596604731305,0.00208842880755809,0.119659235751569,-0.661728157148039,4
"28","IL6R",-0.763792708756111,4.20256060342578,-6.32541384202722,0.00245222705857835,0.132384173581664,-0.825931568386792,4
"29","ZBTB10",0.496102618862025,7.10552850694833,6.30640107121078,0.00248166841232596,0.132384173581664,-0.838200781062215,4
"30","EGFR",0.454495013342885,6.6574665834389,6.22610348021217,0.00261083077537777,0.133246408168343,-0.89045954975848,4
"31","PREX2",0.385027619430232,5.79996353514112,6.17509402426763,0.00269711724593131,0.133246408168343,-0.924031984359594,4
"32","ETV1",0.516893296147895,6.47579053449843,6.10047383251253,0.00282964874790024,0.133246408168343,-0.973676172758918,4
"33","POTENTIALLY_ACTIVE_2",-0.762992255896082,5.81095575775097,-6.09353961233482,0.00284236035523939,0.133246408168343,-0.978321845207068,4
"34","CCND3",0.601461510654648,6.2508418333068,5.98330727674091,0.00305402095324856,0.133635988539359,-1.05292316965794,4
"35","SETD1B",0.417328983651323,6.12085887379609,5.95476864882104,0.00311189264312707,0.133635988539359,-1.07246931315292,4
"36","GOLGA6L5P",0.590098783947267,6.34868122387362,5.91802928927192,0.00318835830205146,0.133635988539359,-1.09777448428508,4
"37","TFAP2A",0.721291418141057,5.51069146684343,5.91431877354088,0.00319620657786444,0.133635988539359,-1.10033914686906,4
"38","SQSTM1",-0.806124620813713,5.90703897017607,-5.8437695605024,0.00334996610505425,0.134563910351232,-1.14941670306564,4
"39","EOMES",-0.487866650212057,6.21536635389401,-5.81220173085655,0.00342165334621171,0.134563910351232,-1.17157198820363,4
