"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"1","MYRF",2.75049443486051,5.54582435337972,34.3119046846743,1.09303299229858e-09,1.1121192968553e-05,11.6580952116844,4
"2","NR4A3",1.90908372437711,4.84948852971504,34.1023990721043,1.14539296241341e-09,1.1121192968553e-05,11.6325391352938,4
"3","ATP6V1B2",1.56435797034816,5.29296785453417,29.2620225795987,3.68410451298711e-09,2.38472085125656e-05,10.9425169545333,4
"4","C9",-1.40656686561129,3.40660758746508,-26.1224765809461,8.74437746019274e-09,4.24517664748707e-05,10.3685770417063,4
"5","IL6R",-1.7870101771001,2.98655203064989,-23.9494226165365,1.69214208078112e-08,5.11938173094656e-05,9.89528633617062,4
"6","TMEM14C",-1.28800027178137,3.1596596612966,-23.6821268567563,1.84266420670874e-08,5.11938173094656e-05,9.83206366990622,4
"7","MCOLN2",1.31617006892929,4.908549427173,23.6775123383565,1.84539225071455e-08,5.11938173094656e-05,9.83096189378348,4
"8","NR4A1",1.80075900490418,4.89761583486645,23.0543484925608,2.25941106590862e-08,5.48443793610994e-05,9.67887110245399,4
"9","CCNE2",-1.20388444642337,2.87710566573098,-21.8408299807338,3.40431061681097e-08,6.63018999702874e-05,9.36282094672197,4
"10","TOB2",1.13214123841498,4.92767521747493,21.8324010932482,3.41427982750334e-08,6.63018999702874e-05,9.36052868980567,4
"11","IKBIP",-1.0852738028471,3.34195448411488,-20.7956511159818,4.9345398666964e-08,8.71125724285249e-05,9.0676492808897,4
"12","MDM2",1.58700685969035,5.76748809405759,20.2935530596671,5.93619429431396e-08,9.60624641677356e-05,8.91762826817362,4
"13","FOXA1",-1.0042591400979,3.03699173926246,-19.3062246953524,8.65154394713125e-08,0.000129234101468724,8.60576906162038,4
"14","PDE3A",-1.05882307369658,3.31960169521062,-18.8100190300532,1.0528802996163e-07,0.000139837717806375,8.44004101717477,4
"15","BHLHA15",-1.01537148368976,2.944447094558,-18.7462914890469,1.08016157737042e-07,0.000139837717806375,8.41829809681766,4
"16","PRKCD",-0.945987934761383,2.81017744520068,-18.1600286627902,1.37224025137587e-07,0.000166547084009175,8.2131865586214,4
"17","IFI16",-0.905557094418391,3.41101991531724,-17.496608038101,1.81553923295216e-07,0.00020738797861587,7.96950781437088,4
"18","TBX2",-1.00204911342997,3.16799545184773,-17.2925082445924,1.98287941351413e-07,0.00021391964072795,7.8919434094697,4
"19","FADS2",1.14090800755776,4.99997578253043,17.0358705472878,2.21850685203174e-07,0.000226743076629496,7.79260962424009,4
"20","SAMHD1",-1.18211030460479,3.47212017701883,-16.8864644679398,2.37013793241688e-07,0.000230128542548017,7.7338354811786,4
"21","GATA6",-1.19337445594948,2.61494164364266,-16.6739967335207,2.60630569565226e-07,0.000234811377038563,7.64902926480316,4
"22","KLF10",-0.896352078775018,3.35623825931369,-16.5611822455441,2.74241219038973e-07,0.000234811377038563,7.60340507197874,4
"23","STON2",-0.854853614192554,4.14490009420687,-16.5040342404322,2.81440313714932e-07,0.000234811377038563,7.58013388930054,4
"24","NFAT5",1.08688454751601,4.3746229096797,16.3631702328437,3.00112588065139e-07,0.000234811377038563,7.52230957095415,4
"25","MAML2",0.88716330830893,4.57578419860796,16.3473467137734,3.0229591770761e-07,0.000234811377038563,7.51577256141451,4
"26","CEBPB",-1.02893860156174,2.98289643790528,-16.2541433177013,3.15525109875019e-07,0.000235660850333192,7.47709677306851,4
"27","GLIS3",0.92022224043385,4.81521969451018,15.9475811827165,3.63864852514369e-07,0.000243188920576152,7.3477839322237,4
"28","KRT18",-0.865579184219313,2.83867646226563,-15.8425823636898,3.82298701942383e-07,0.000243188920576152,7.30273889345538,4
"29","ATP6V1C1",-0.839054177177324,3.39998714491444,-15.7230322852506,4.04580115768165e-07,0.000243188920576152,7.25097309673557,4
"30","GAP43",-0.851980794882221,3.73235761046156,-15.7204732858807,4.05072791453269e-07,0.000243188920576152,7.2498594236001,4
"31","TMEM163",-1.25089767846673,2.91297286666081,-15.7137367309574,4.06372992756867e-07,0.000243188920576152,7.24692655352488,4
"32","SDC2",-0.998105702097144,3.44443245139017,-15.6765740312123,4.13630702892952e-07,0.000243188920576152,7.23071766220136,4
"33","RBMS1",-0.889915733308189,4.18071649036943,-15.5711618028538,4.35024553750998e-07,0.000243188920576152,7.18446777295908,4
"34","SP140L",-0.846432033987964,3.1562165531206,-15.5596992893706,4.37425125166504e-07,0.000243188920576152,7.17941406586648,4
"35","SGCE",-0.895674088328384,3.40249455296823,-15.5525841322388,4.38922743168363e-07,0.000243188920576152,7.17627463597947,4
"36","SLC27A2",0.807851570939016,4.85973547629353,15.4969365890778,4.50836868054043e-07,0.000243188920576152,7.15165685199625,4
"37","MSX1",-0.961844644221056,3.23872298697341,-15.1971046327626,5.21646605300768e-07,0.000267080003323834,7.01702411448464,4
"38","ERBB2",0.843257221121787,4.92504905870423,15.1932520777362,5.22634539693378e-07,0.000267080003323834,7.01527206038317,4
"39","C16orf62",0.774212243754758,4.90335680703766,14.9466659953467,5.90480684282915e-07,0.000294013959181793,6.90193634516338,4
"40","LARP1B",-0.909992462251494,2.87842027666494,-14.8556178422581,6.17996693761062e-07,0.000300021944903652,6.8592383375163,4
"41","SP3",-0.787828548988996,3.42670167987012,-14.7448296053175,6.53445581480089e-07,0.000304894312165683,6.80738781448884,4
"42","LRIG1",-0.884787004181276,2.86561424288513,-14.7267814164514,6.59434631595792e-07,0.000304894312165683,6.79885380354269,4
"43","HOXC13",-0.794007248822445,3.41600150179091,-14.6206262923378,6.95936876840139e-07,0.000314288330496713,6.74839133425692,4
"44","RUNX3",-0.797414360801475,2.62325586049246,-14.564457053185,7.16167972383627e-07,0.000316074223993583,6.7215041608153,4
