"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"1","MYRF",2.22094079065115,7.82473763930956,46.437231396905,1.43545899689711e-06,0.000850229156252362,6.45864469780699,4
"2","ZEB2",-2.04002056623954,4.71845790516214,-42.9746094798221,1.95007062053026e-06,0.000850229156252362,6.21315437710183,4
"3","LOC107984510",1.70221294866592,7.17456497863058,39.8348158007013,2.63200021638888e-06,0.000850229156252362,5.95995516583076,4
"4","NR4A1",1.70221294866592,7.17456497863058,39.8348158007013,2.63200021638888e-06,0.000850229156252362,5.95995516583076,4
"5","CEBPB",-1.6577112397931,5.10396409760194,-36.2242303698372,3.83113180554482e-06,0.000850229156252362,5.62598484574743,4
"6","HOXC13",-1.27685816837285,4.95945598114536,-34.9379844974121,4.41923021094053e-06,0.000850229156252362,5.49426180000804,4
"7","KRT8",-1.9186143029454,4.69410328137222,-33.6859796523617,5.10429689459032e-06,0.000850229156252362,5.35884473199808,4
"8","PIDD1",-1.22689495843509,5.20049789874048,-33.4123414580604,5.27136676742346e-06,0.000850229156252362,5.32824999786473,4
"9","GATA6",-1.78146961573047,5.01534654966041,-32.0573110830896,6.20739341436878e-06,0.000850229156252362,5.17116592845618,4
"10","EPHA2",-1.44496404382694,5.1208917556576,-31.5435599483078,6.61615425964165e-06,0.000850229156252362,5.10907396922008,4
"11","MDM2",1.37908110419106,7.83428432369896,31.4952846281342,6.6562732530558e-06,0.000850229156252362,5.1031649772141,4
"12","HNF1B",1.31399680098258,7.25809245423135,30.8727517244451,7.20196945606833e-06,0.000850229156252362,5.02579184184283,4
"13","FOXA3",-1.35620522026599,4.93850869224443,-30.7067238189573,7.35687676157431e-06,0.000850229156252362,5.00478215569621,4
"14","SAMHD1",-1.2897663262546,5.68623261388174,-30.3596772303107,7.69438150454626e-06,0.000850229156252362,4.96034431462875,4
"15","PHLDA1",-1.0295941810529,5.34329636777734,-29.3503635690287,8.79245911622474e-06,0.000863187179589799,4.82696475410651,4
"16","APOBEC3A",-1.73135719188856,4.91207535854061,-29.2371048563156,8.92759849608066e-06,0.000863187179589799,4.81160088194686,4
"17","PTPN14",-1.08391398471504,5.3007282435311,-28.6595487677002,9.65863675546276e-06,0.000878935944747111,4.73196160560199,4
"18","HYMAI",-1.00100811985026,5.34568931865822,-27.4498734522232,1.14492716661068e-05,0.000932211750919323,4.5578547629989,4
"19","PLAGL1",-1.00100811985026,5.34568931865822,-27.4498734522232,1.14492716661068e-05,0.000932211750919323,4.5578547629989,4
"20","PLK4",-1.16355886520457,5.36374728965033,-26.4558324880305,1.32412854871648e-05,0.00100969024096634,4.40690030020361,4
"21","ZBTB10",0.930904159345603,6.88812773670654,26.2252178669551,1.37062023660589e-05,0.00100969024096634,4.37080424904914,4
"22","CDKN1A",-1.10574286344924,4.63023812995807,-25.8799677485124,1.44410821891259e-05,0.00101547064302626,4.31597994516752,4
"23","MAP3K11",-1.1032416639943,5.80341918669356,-25.3589036208763,1.56461285199625e-05,0.00103678393503765,4.23140604466711,4
"24","RUNX2",-0.945959368104914,5.84194739539029,-24.7106580745566,1.7326527970053e-05,0.00103678393503765,4.12299825455172,4
"25","NEUROG2",-0.961403110505595,5.46164118371206,-24.5884271433996,1.76682768260056e-05,0.00103678393503765,4.10214789688336,4
"26","E2F7",-0.885568448402053,5.32926906447018,-24.5527594373771,1.77695874732949e-05,0.00103678393503765,4.09603866005889,4
"27","MBNL1",-1.0952310462112,5.33386575368033,-24.4398481527818,1.80951300879228e-05,0.00103678393503765,4.07662406526913,4
"28","PAGE4",-1.04283847021545,5.7020418666479,-23.6284403756978,2.06682245786479e-05,0.00109473379447259,3.93367288046337,4
"29","PRAG1",-1.26661110860001,5.15850612335226,-23.520581864255,2.10438793069035e-05,0.00109473379447259,3.91420456524429,4
"30","CCND2",0.82948268615042,6.71620639061242,23.428039719851,2.13730200424661e-05,0.00109473379447259,3.8974113165786,4
"31","IL6R",-2.44183386323917,5.04158118066731,-23.2271471679007,2.21099837623202e-05,0.00109473379447259,3.86066858056849,4
"32","ELF4",-1.32269244476347,5.47103639371714,-23.0543926276627,2.27693059663445e-05,0.00109473379447259,3.82875338581249,4
